,Unnamed: 0,text,context,line_number,column,absolute_offset,match_type,file_name,file_loc,file_byte_size,package_import_path,module_path,module_version,project_name,file_copy_path,label
0,0,"	return *(*string)(unsafe.Pointer(&any.buf))
","	return 0
}

func (any *arrayLazyAny) ToString() string {
	return *(*string)(unsafe.Pointer(&any.buf))
}

func (any *arrayLazyAny) ToVal(val interface{}) {
	iter := any.cfg.BorrowIterator(any.buf)
	defer any.cfg.ReturnIterator(iter)
",90.0,19.0,1236.0,unsafe.Pointer,any_array.go,4838.0,278.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any_array.go,cast:slice_to_str
1,1,"			return WrapUint32(uint32(val.(uintptr)))
","		}
		return WrapUint64(uint64(val.(uint)))
	case reflect.Uintptr:
		if ptrSize == 32 {
			return WrapUint32(uint32(val.(uintptr)))
		}
		return WrapUint64(uint64(val.(uintptr)))
	case reflect.Uint8:
		return WrapUint32(uint32(val.(uint8)))
	case reflect.Uint16:
",124.0,33.0,2591.0,uintptr,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,manual:safe
2,2,"		return WrapUint64(uint64(val.(uintptr)))
","	case reflect.Uintptr:
		if ptrSize == 32 {
			return WrapUint32(uint32(val.(uintptr)))
		}
		return WrapUint64(uint64(val.(uintptr)))
	case reflect.Uint8:
		return WrapUint32(uint32(val.(uint8)))
	case reflect.Uint16:
		return WrapUint32(uint32(val.(uint16)))
	case reflect.Uint32:
",126.0,32.0,2639.0,uintptr,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,manual:safe
3,3,"func (codec *anyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
","type anyCodec struct {
	valType reflect2.Type
}

func (codec *anyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
	panic(""not implemented"")
}

func (codec *anyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
	obj := codec.valType.UnsafeIndirect(ptr)
",290.0,34.0,6382.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,unused
4,4,"func (codec *anyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
","func (codec *anyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
	panic(""not implemented"")
}

func (codec *anyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
	obj := codec.valType.UnsafeIndirect(ptr)
	any := obj.(Any)
	any.WriteTo(stream)
}

",294.0,34.0,6479.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,unclassified
5,5,"func (codec *anyCodec) IsEmpty(ptr unsafe.Pointer) bool {
","	any := obj.(Any)
	any.WriteTo(stream)
}

func (codec *anyCodec) IsEmpty(ptr unsafe.Pointer) bool {
	obj := codec.valType.UnsafeIndirect(ptr)
	any := obj.(Any)
	return any.Size() == 0
}

",300.0,35.0,6631.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,manual:safe
6,6,"func (codec *directAnyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
","
type directAnyCodec struct {
}

func (codec *directAnyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
	*(*Any)(ptr) = iter.readAny()
}

func (codec *directAnyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
	any := *(*Any)(ptr)
",309.0,40.0,6808.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,unclassified
7,7,"func (codec *directAnyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
","func (codec *directAnyCodec) Decode(ptr unsafe.Pointer, iter *Iterator) {
	*(*Any)(ptr) = iter.readAny()
}

func (codec *directAnyCodec) Encode(ptr unsafe.Pointer, stream *Stream) {
	any := *(*Any)(ptr)
	if any == nil {
		stream.WriteNil()
		return
	}
",313.0,40.0,6916.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,unclassified
8,8,"func (codec *directAnyCodec) IsEmpty(ptr unsafe.Pointer) bool {
","	}
	any.WriteTo(stream)
}

func (codec *directAnyCodec) IsEmpty(ptr unsafe.Pointer) bool {
	any := *(*Any)(ptr)
	return any.Size() == 0
}
",322.0,41.0,7084.0,unsafe.Pointer,any.go,7195.0,325.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/any.go,unclassified
9,9,"	return *(*string)(unsafe.Pointer(&str))
","	}
	if len(str) == 0 {
		iter.ReportError(""readNumberAsString"", ""invalid number"")
	}
	return *(*string)(unsafe.Pointer(&str))
}

func (iter *Iterator) readFloat32SlowPath() (ret float32) {
	str := iter.readNumberAsString()
	if iter.Error != nil && iter.Error != io.EOF {
",185.0,19.0,4058.0,unsafe.Pointer,iter_float.go,7571.0,339.0,github.com/json-iterator/go,github.com/json-iterator/go,v1.1.8,kubernetes/kubernetes,github.com/json-iterator/go/iter_float.go,unclassified
