,Unnamed: 0,line_number,column,text,number_unsafe_pointer,number_unsafe_sizeof,number_unsafe_alignof,number_unsafe_offsetof,number_uintptr,number_slice_header,number_string_header,file_name,package_import_path,module_path,module_version,project_name,label
0,78141,287.0,1.0,"func tcgetattr(fd uintptr, termios *syscall_Termios) error {
	r, _, e := syscall.Syscall(syscall.SYS_IOCTL,
		fd, uintptr(syscall_TCGETS), uintptr(unsafe.Pointer(termios)))
	if r != 0 {
		return os.NewSyscallError(""SYS_IOCTL"", e)
	}
	return nil
}",1.0,0.0,0.0,0.0,3.0,0.0,0.0,termbox.go,github.com/jesseduffield/termbox-go,github.com/jesseduffield/termbox-go,v0.0.0-20200130214842-1d31d1faa3c9,jesseduffield/lazygit,unclassified
1,1771,1181.0,1.0,"func prlimit(pid int, resource int, newlimit *Rlimit, old *Rlimit) (err error) {
	_, _, e1 := RawSyscall6(SYS_PRLIMIT64, uintptr(pid), uintptr(resource), uintptr(unsafe.Pointer(newlimit)), uintptr(unsafe.Pointer(old)), 0, 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",2.0,0.0,0.0,0.0,4.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200323222414-85ca7c5b95cd,kubernetes/kubernetes,unclassified
2,280840,383.0,1.0,"func (port *unixPort) getModemBitsStatus() (int, error) {
	var status int
	err := ioctl(port.handle, unix.TIOCMGET, uintptr(unsafe.Pointer(&status)))
	return status, err
}",1.0,0.0,0.0,0.0,1.0,0.0,0.0,serial_unix.go,go.bug.st/serial.v1,go.bug.st/serial.v1,v0.0.0-20180827123349-5f7892a7bb45,hybridgroup/gobot,unclassified
3,71093,1098.0,1.0,"func Lsetxattr(path string, attr string, data []byte, flags int) (err error) {
	var _p0 *byte
	_p0, err = BytePtrFromString(path)
	if err != nil {
		return
	}
	var _p1 *byte
	_p1, err = BytePtrFromString(attr)
	if err != nil {
		return
	}
	var _p2 unsafe.Pointer
	if len(data) > 0 {
		_p2 = unsafe.Pointer(&data[0])
	} else {
		_p2 = unsafe.Pointer(&_zero)
	}
	_, _, e1 := Syscall6(SYS_LSETXATTR, uintptr(unsafe.Pointer(_p0)), uintptr(unsafe.Pointer(_p1)), uintptr(_p2), uintptr(len(data)), uintptr(flags), 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",5.0,0.0,0.0,0.0,5.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20191022100944-742c48ecaeb7,helm/helm,unclassified
4,261884,1513.0,1.0,"func Vmsplice(fd int, iovs []Iovec, flags int) (int, error) {
	var p unsafe.Pointer
	if len(iovs) > 0 {
		p = unsafe.Pointer(&iovs[0])
	}

	n, _, errno := Syscall6(SYS_VMSPLICE, uintptr(fd), uintptr(p), uintptr(len(iovs)), uintptr(flags), 0, 0)
	if errno != 0 {
		return 0, syscall.Errno(errno)
	}

	return int(n), nil
}",2.0,0.0,0.0,0.0,4.0,0.0,0.0,syscall_linux.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20190116161447-11f53e031339,cjbassi/gotop,unclassified
5,495,167.0,1.0,"func newosproc0(stacksize uintptr, fn unsafe.Pointer) {
	stack := sysAlloc(stacksize, &memstats.stacks_sys)
	if stack == nil {
		write(2, unsafe.Pointer(&failallocatestack[0]), int32(len(failallocatestack)))
		exit(1)
	}
	ret := clone(cloneFlags, unsafe.Pointer(uintptr(stack)+stacksize), nil, nil, fn)
	if ret < 0 {
		write(2, unsafe.Pointer(&failthreadcreate[0]), int32(len(failthreadcreate)))
		exit(1)
	}
}",4.0,0.0,0.0,0.0,2.0,0.0,0.0,os_linux.go,runtime,std,std,kubernetes/kubernetes,unclassified
6,176,33.0,1.0,"func getitab(inter *interfacetype, typ *_type, canfail bool) *itab {
	if len(inter.mhdr) == 0 {
		throw(""internal error - misuse of itab"")
	}

	// easy case
	if typ.tflag&tflagUncommon == 0 {
		if canfail {
			return nil
		}
		name := inter.typ.nameOff(inter.mhdr[0].name)
		panic(&TypeAssertionError{nil, typ, &inter.typ, name.name()})
	}

	var m *itab

	// First, look in the existing table to see if we can find the itab we need.
	// This is by far the most common case, so do it without locks.
	// Use atomic to ensure we see any previous writes done by the thread
	// that updates the itabTable field (with atomic.Storep in itabAdd).
	t := (*itabTableType)(atomic.Loadp(unsafe.Pointer(&itabTable)))
	if m = t.find(inter, typ); m != nil {
		goto finish
	}

	// Not found.  Grab the lock and try again.
	lock(&itabLock)
	if m = itabTable.find(inter, typ); m != nil {
		unlock(&itabLock)
		goto finish
	}

	// Entry doesn't exist yet. Make a new entry & add it.
	m = (*itab)(persistentalloc(unsafe.Sizeof(itab{})+uintptr(len(inter.mhdr)-1)*sys.PtrSize, 0, &memstats.other_sys))
	m.inter = inter
	m._type = typ
	// The hash is used in type switches. However, compiler statically generates itab's
	// for all interface/type pairs used in switches (which are added to itabTable
	// in itabsinit). The dynamically-generated itab's never participate in type switches,
	// and thus the hash is irrelevant.
	// Note: m.hash is _not_ the hash used for the runtime itabTable hash table.
	m.hash = 0
	m.init()
	itabAdd(m)
	unlock(&itabLock)
finish:
	if m.fun[0] != 0 {
		return m
	}
	if canfail {
		return nil
	}
	// this can only happen if the conversion
	// was already done once using the , ok form
	// and we have a cached negative result.
	// The cached result doesn't record which
	// interface function was missing, so initialize
	// the itab again to get the missing function name.
	panic(&TypeAssertionError{concrete: typ, asserted: &inter.typ, missingMethod: m.init()})
}",1.0,0.0,0.0,0.0,1.0,0.0,0.0,iface.go,runtime,std,std,kubernetes/kubernetes,unclassified
7,146069,1544.0,1.0,"func PtraceSetRegs(pid int, regs *PtraceRegs) (err error) {
	return ptrace(PTRACE_SETREGS, pid, 0, uintptr(unsafe.Pointer(regs)))
}",1.0,0.0,0.0,0.0,1.0,0.0,0.0,syscall_linux.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200409092240-59c9f1ba88fa,hyperledger/fabric,unclassified
8,72939,1931.0,1.0,"func NewFileHandle(handleType int32, handle []byte) FileHandle {
	const hdrSize = unsafe.Sizeof(fileHandle{})
	buf := make([]byte, hdrSize+uintptr(len(handle)))
	copy(buf[hdrSize:], handle)
	fh := (*fileHandle)(unsafe.Pointer(&buf[0]))
	fh.Type = handleType
	fh.Bytes = uint32(len(handle))
	return FileHandle{fh}
}",1.0,0.0,0.0,0.0,1.0,0.0,0.0,syscall_linux.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20191220142924-d4481acd189f,go-kit/kit,unclassified
9,230733,669.0,1.0,"func prlimit(pid int, resource int, newlimit *Rlimit, old *Rlimit) (err error) {
	_, _, e1 := RawSyscall6(SYS_PRLIMIT64, uintptr(pid), uintptr(resource), uintptr(unsafe.Pointer(newlimit)), uintptr(unsafe.Pointer(old)), 0, 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",2.0,0.0,0.0,0.0,4.0,0.0,0.0,zsyscall_linux_amd64.go,_/root/download/go/src/syscall,std,std,json-iterator/go,unclassified
