,Unnamed: 0,line_number,column,text,number_unsafe_pointer,number_unsafe_sizeof,number_unsafe_alignof,number_unsafe_offsetof,number_uintptr,number_slice_header,number_string_header,file_name,package_import_path,module_path,module_version,project_name,count,label
0,9849,1424.0,2.0,"	r0, _, e1 := Syscall6(SYS_SIGNALFD4, uintptr(fd), uintptr(unsafe.Pointer(sigmask)), uintptr(maskSize), uintptr(flags), 0, 0)",1.0,0.0,0.0,0.0,4.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200107144601-ef85f5a75ddf,gohugoio/hugo,5.0,unclassified
1,349966,656.0,5.0,				dstx := (*uintptr)(unsafe.Pointer(dst + i)),1.0,0.0,0.0,0.0,1.0,0.0,0.0,mbitmap.go,_/root/download/go/src/runtime,std,std,json-iterator/go,2.0,unclassified
2,28040,97.0,3.0,		data = unsafe.Pointer(uintptr(data) + 4),1.0,0.0,0.0,0.0,1.0,0.0,0.0,sockcmsg_unix.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20190412213103-97732733099d,v2ray/v2ray-core,2.0,unclassified
3,4994,81.0,2.0,	ifreq := &Ifreq{Data: uintptr(unsafe.Pointer(e))},1.0,0.0,0.0,0.0,1.0,0.0,0.0,ioctl_linux.go,github.com/vishvananda/netlink,github.com/vishvananda/netlink,v1.1.0,kubernetes/kubernetes,2.0,unclassified
4,397315,36.0,2.0,"	return int(xxhash.Sum64(*(*[]byte)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(unsafe.Pointer(&key)), Len: 8, Cap: 8,
	}))) >> dibBitSize)",2.0,0.0,0.0,0.0,1.0,0.0,0.0,u64.go,github.com/tidwall/rhh,github.com/tidwall/rhh,v1.1.0,tidwall/tile38,3.0,unclassified
5,134708,113.0,2.0,"	_, _, errno := syscall.Syscall(
		syscall.SYS_IOCTL,
		lcmd.pty.Fd(),
		syscall.TIOCSWINSZ,
		uintptr(unsafe.Pointer(&window)),
	)",1.0,0.0,0.0,0.0,1.0,0.0,0.0,local_command.go,_/root/download/gotty/backend/localcommand,std,std,yudai/gotty,2.0,unclassified
6,2022,1660.0,2.0,"	_, _, e1 := Syscall(SYS_FUTIMESAT, uintptr(dirfd), uintptr(unsafe.Pointer(_p0)), uintptr(unsafe.Pointer(times)))",2.0,0.0,0.0,0.0,3.0,0.0,0.0,zsyscall_linux_amd64.go,syscall,std,std,kubernetes/kubernetes,5.0,unclassified
7,206236,253.0,3.0,		bloomImEx.FilterSet[i] = *(*byte)(unsafe.Pointer(uintptr(unsafe.Pointer(&bl.bitset[0])) + uintptr(i))),2.0,0.0,0.0,0.0,2.0,0.0,0.0,bbloom.go,github.com/AndreasBriese/bbloom,github.com/AndreasBriese/bbloom,v0.0.0-20190825152654-46b345b51c96,jaegertracing/jaeger,4.0,unclassified
8,429505,375.0,2.0,"	err := ioctl(port.handle, ioctlTcgetattr, uintptr(unsafe.Pointer(settings)))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,serial_unix.go,go.bug.st/serial.v1,go.bug.st/serial.v1,v0.0.0-20180827123349-5f7892a7bb45,hybridgroup/gobot,2.0,unclassified
9,28329,2091.0,2.0,"	_, _, e1 := Syscall(SYS_TRUNCATE, uintptr(unsafe.Pointer(_p0)), uintptr(length), 0)",1.0,0.0,0.0,0.0,2.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20190412213103-97732733099d,v2ray/v2ray-core,3.0,unclassified
10,115,295.0,2.0,"	if len(x) > 4 && datap.etext <= uintptr(str.str) && uintptr(str.str) < datap.end {
		// String constants are in the rodata section, which
		// isn't recorded in moduledata. But it has to be
		// somewhere between etext and end.
		l.w.byte(debugLogConstString)
		l.w.uvarint(uint64(str.len))
		l.w.uvarint(uint64(uintptr(str.str) - datap.etext))
	} else {
		l.w.byte(debugLogString)
		var b []byte
		bb := (*slice)(unsafe.Pointer(&b))
		bb.array = str.str
		bb.len, bb.cap = str.len, str.len
		if len(b) > debugLogStringLimit {
			b = b[:debugLogStringLimit]
		}
		l.w.uvarint(uint64(len(b)))
		l.w.bytes(b)
		if len(b) != len(x) {
			l.w.byte(debugLogStringOverflow)
			l.w.uvarint(uint64(len(x) - len(b)))
		}
	}",1.0,0.0,0.0,0.0,3.0,0.0,0.0,debuglog.go,runtime,std,std,kubernetes/kubernetes,4.0,unclassified
11,350862,82.0,2.0,"	if uintptr(*c) != uintptr(unsafe.Pointer(c)) &&
		!atomic.CompareAndSwapUintptr((*uintptr)(c), 0, uintptr(unsafe.Pointer(c))) &&
		uintptr(*c) != uintptr(unsafe.Pointer(c)) {
		panic(""sync.Cond is copied"")
	}",3.0,0.0,0.0,0.0,6.0,0.0,0.0,cond.go,_/root/download/go/src/sync,std,std,json-iterator/go,9.0,unclassified
12,116598,37.0,3.0,"		_, _, err = syscall.Syscall(
			syscall.SYS_IOCTL,
			out.Fd(),
			uintptr(syscall.TIOCGWINSZ),
			uintptr(unsafe.Pointer(&sz)),
		)",1.0,0.0,0.0,0.0,2.0,0.0,0.0,gui_notwin.go,github.com/jesseduffield/gocui,github.com/jesseduffield/gocui,v0.3.1-0.20200309001002-7765949e1c8a,jesseduffield/lazygit,3.0,unclassified
13,350969,28.0,2.0,	return unsafe.Pointer(uintptr(unsafe.Pointer(h)) + uintptr(cmsgAlignOf(SizeofCmsghdr)) + offset),2.0,0.0,0.0,0.0,2.0,0.0,0.0,sockcmsg_unix.go,_/root/download/go/src/syscall,std,std,json-iterator/go,4.0,unclassified
14,315904,204.0,2.0,"	r0, _, e1 := Syscall6(SYS_WAIT4, uintptr(pid), uintptr(unsafe.Pointer(wstatus)), uintptr(options), uintptr(unsafe.Pointer(rusage)), 0, 0)",2.0,0.0,0.0,0.0,4.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20171012164349-43eea11bc926,apex/apex,6.0,unclassified
15,566,72.0,4.0,"			if memequal(k.str, key.str, uintptr(key.len)) {
				return add(unsafe.Pointer(b), dataOffset+bucketCnt*2*sys.PtrSize+keymaybe*uintptr(t.elemsize))
			}",1.0,0.0,0.0,0.0,2.0,0.0,0.0,map_faststr.go,runtime,std,std,kubernetes/kubernetes,3.0,unclassified
16,1898,141.0,2.0,"	_, _, e1 := Syscall6(SYS_UTIMENSAT, uintptr(dirfd), uintptr(unsafe.Pointer(_p0)), uintptr(unsafe.Pointer(times)), uintptr(flag), 0, 0)",2.0,0.0,0.0,0.0,4.0,0.0,0.0,zsyscall_linux_amd64.go,syscall,std,std,kubernetes/kubernetes,6.0,unclassified
17,1262,871.0,2.0,"	return *(*int32)(add(unsafe.Pointer(&f.nfuncdata), unsafe.Sizeof(f.nfuncdata)+uintptr(table)*4))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,symtab.go,runtime,std,std,kubernetes/kubernetes,2.0,unclassified
18,106171,2244.0,2.0,"	_, _, e1 := RawSyscall(SYS_SETGROUPS, uintptr(n), uintptr(unsafe.Pointer(list)), 0)",1.0,0.0,0.0,0.0,2.0,0.0,0.0,zsyscall_linux_amd64.go,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20191022100944-742c48ecaeb7,helm/helm,3.0,unclassified
19,349872,54.0,5.0,"				return add(unsafe.Pointer(b), dataOffset+bucketCnt*2*sys.PtrSize+i*uintptr(t.elemsize))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,map_faststr.go,_/root/download/go/src/runtime,std,std,json-iterator/go,2.0,unclassified
20,264241,1735.0,2.0,"	ctx.enqueue(call{
		args: fnargs{
			fn: glfnUniformMatrix2x4fv,
			a0: dst.c(),
			a1: uintptr(len(src) / 8),
		},
		parg:     unsafe.Pointer(&src[0]),
		blocking: true,
	})",1.0,0.0,0.0,0.0,1.0,0.0,0.0,gl.go,github.com/fyne-io/mobile/gl,github.com/fyne-io/mobile,v0.0.1,fyne-io/fyne,2.0,unclassified
