,Unnamed: 0,Unnamed: 0.1,text,context,line_number,column,absolute_offset,match_type,file_name,file_loc,file_byte_size,package_import_path,module_path,module_version,project_name,file_copy_path,label
0,0,0,"// (6) Conversion of a reflect.SliceHeader or reflect.StringHeader Data field to or from Pointer.
","//	// before conversion back to Pointer.
//	u := reflect.ValueOf(new(int)).Pointer()
//	p := (*int)(unsafe.Pointer(u))
//
// (6) Conversion of a reflect.SliceHeader or reflect.StringHeader Data field to or from Pointer.
//
// As in the previous case, the reflect data structures SliceHeader and StringHeader
// declare the field Data as a uintptr to keep callers from changing the result to
// an arbitrary type without first importing ""unsafe"". However, this means that
// SliceHeader and StringHeader are only valid when interpreting the content
",153.0,23.0,6463.0,reflect.SliceHeader,unsafe.go,9215.0,205.0,unsafe,std,std,kubernetes/kubernetes,unsafe/unsafe.go,comment
1,1,1,"// In general, reflect.SliceHeader and reflect.StringHeader should be used
","//
// In this usage hdr.Data is really an alternate way to refer to the underlying
// pointer in the string header, not a uintptr variable itself.
//
// In general, reflect.SliceHeader and reflect.StringHeader should be used
// only as *reflect.SliceHeader and *reflect.StringHeader pointing at actual
// slices or strings, never as plain structs.
// A program should not declare or allocate variables of these struct types.
//
//	// INVALID: a directly-declared header will not hold Data as a reference.
",169.0,15.0,7252.0,reflect.SliceHeader,unsafe.go,9215.0,205.0,unsafe,std,std,kubernetes/kubernetes,unsafe/unsafe.go,comment
2,2,2,"// only as *reflect.SliceHeader and *reflect.StringHeader pointing at actual
","// In this usage hdr.Data is really an alternate way to refer to the underlying
// pointer in the string header, not a uintptr variable itself.
//
// In general, reflect.SliceHeader and reflect.StringHeader should be used
// only as *reflect.SliceHeader and *reflect.StringHeader pointing at actual
// slices or strings, never as plain structs.
// A program should not declare or allocate variables of these struct types.
//
//	// INVALID: a directly-declared header will not hold Data as a reference.
//	var hdr reflect.StringHeader
",170.0,12.0,7327.0,reflect.SliceHeader,unsafe.go,9215.0,205.0,unsafe,std,std,kubernetes/kubernetes,unsafe/unsafe.go,comment
3,3,3,"	sliceHeader := &reflect.SliceHeader{
","}

func UnsafeCastString(str string) []byte {
	stringHeader := (*reflect.StringHeader)(unsafe.Pointer(&str))
	sliceHeader := &reflect.SliceHeader{
		Data: stringHeader.Data,
		Cap: stringHeader.Len,
		Len: stringHeader.Len,
	}
	return *(*[]byte)(unsafe.Pointer(sliceHeader))
",292.0,17.0,7104.0,reflect.SliceHeader,reflect2.go,7272.0,298.0,github.com/modern-go/reflect2,github.com/modern-go/reflect2,v1.0.1,kubernetes/kubernetes,github.com/modern-go/reflect2/reflect2.go,vuln:create_sliceheader
4,4,4,"	h := (*reflect.SliceHeader)(unsafe.Pointer(&data))
","// Warning: the string returned by the function should be used with care, as the whole input data
// chunk may be either blocked from being freed by GC because of a single string or the buffer.Data
// may be garbage-collected even when the string exists.
func bytesToStr(data []byte) string {
	h := (*reflect.SliceHeader)(unsafe.Pointer(&data))
	shdr := reflect.StringHeader{Data: h.Data, Len: h.Len}
	return *(*string)(unsafe.Pointer(&shdr))
}
",21.0,8.0,616.0,reflect.SliceHeader,bytestostr.go,768.0,24.0,github.com/mailru/easyjson/jlexer,github.com/mailru/easyjson,v0.7.0,kubernetes/kubernetes,github.com/mailru/easyjson/jlexer/bytestostr.go,vuln:create_sliceheader
5,5,5,"	// A slice header (see reflect.SliceHeader) in Go is a tuple of a starting
","	// since slices represents a list of pointers, rather than a single pointer.
	// The pointer checking logic must be handled on a per-element basis
	// in compareAny.
	//
	// A slice header (see reflect.SliceHeader) in Go is a tuple of a starting
	// pointer P, a length N, and a capacity C. Supposing each slice element has
	// a memory size of M, then the slice is equivalent to the list of pointers:
	//	[P+i*M for i in range(N)]
	//
	// For example, v[:0] and v[:1] are slices with the same starting pointer,
",416.0,24.0,14758.0,reflect.SliceHeader,compare.go,22204.0,655.0,github.com/google/go-cmp/cmp,github.com/google/go-cmp,v0.4.0,kubernetes/kubernetes,github.com/google/go-cmp/cmp/compare.go,comment
6,6,6,"	sh := (*reflect.SliceHeader)(unsafe.Pointer(&name))
","	// syscall.Dirent fields. Setting the Cap, Len, and Data field values for
	// the slice header modifies what the slice header points to, and in this
	// case, the name buffer.
	var name []byte
	sh := (*reflect.SliceHeader)(unsafe.Pointer(&name))
	sh.Cap = ml
	sh.Len = ml
	sh.Data = uintptr(unsafe.Pointer(&de.Name[0]))

	if index := bytes.IndexByte(name, 0); index >= 0 {
",24.0,9.0,769.0,reflect.SliceHeader,withoutNamlen.go,1061.0,36.0,github.com/karrick/godirwalk,github.com/karrick/godirwalk,v1.7.5,kubernetes/kubernetes,github.com/karrick/godirwalk/withoutNamlen.go,need_context
7,7,7,"		sh := &reflect.SliceHeader{
","
func unmarshalBytes(data interface{}, buf []byte) error {
	switch value := data.(type) {
	case unsafe.Pointer:
		sh := &reflect.SliceHeader{
			Data: uintptr(value),
			Len:  len(buf),
			Cap:  len(buf),
		}

",67.0,9.0,1400.0,reflect.SliceHeader,marshalers.go,4755.0,192.0,github.com/cilium/ebpf,github.com/cilium/ebpf,v0.0.0-20191113100448-d9fb101ca1fb,kubernetes/kubernetes,github.com/cilium/ebpf/marshalers.go,vuln:create_sliceheader
8,8,8,"	bh := reflect.SliceHeader{Data: sh.Data, Len: sh.Len, Cap: sh.Len}
","
// StringToReadOnlyBytes returns bytes converted from given string.
func StringToReadOnlyBytes(s string) []byte {
	sh := (*reflect.StringHeader)(unsafe.Pointer(&s))
	bh := reflect.SliceHeader{Data: sh.Data, Len: sh.Len, Cap: sh.Len}
	return *(*[]byte)(unsafe.Pointer(&bh))
}
",18.0,7.0,396.0,reflect.SliceHeader,util_unsafe.go,506.0,20.0,github.com/yuin/goldmark/util,github.com/yuin/goldmark,v1.1.28,gohugoio/hugo,github.com/yuin/goldmark/util/util_unsafe.go,vuln:create_sliceheader
9,9,9,"	bh := (*reflect.SliceHeader)(unsafe.Pointer(&b))
","// Sum64String computes the 64-bit xxHash digest of s.
// It may be faster than Sum64([]byte(s)) by avoiding a copy.
func Sum64String(s string) uint64 {
	var b []byte
	bh := (*reflect.SliceHeader)(unsafe.Pointer(&b))
	bh.Data = (*reflect.StringHeader)(unsafe.Pointer(&s)).Data
	bh.Len = len(s)
	bh.Cap = len(s)
	return Sum64(b)
}
",30.0,9.0,884.0,reflect.SliceHeader,xxhash_unsafe.go,1416.0,46.0,github.com/cespare/xxhash/v2,github.com/cespare/xxhash/v2,v2.1.1,fatedier/frp,github.com/cespare/xxhash/v2/xxhash_unsafe.go,cast:str_to_slice
10,10,10,"	bh := (*reflect.SliceHeader)(unsafe.Pointer(&b))
","// WriteString adds more data to d. It always returns len(s), nil.
// It may be faster than Write([]byte(s)) by avoiding a copy.
func (d *Digest) WriteString(s string) (n int, err error) {
	var b []byte
	bh := (*reflect.SliceHeader)(unsafe.Pointer(&b))
	bh.Data = (*reflect.StringHeader)(unsafe.Pointer(&s)).Data
	bh.Len = len(s)
	bh.Cap = len(s)
	return d.Write(b)
}
",41.0,9.0,1251.0,reflect.SliceHeader,xxhash_unsafe.go,1416.0,46.0,github.com/cespare/xxhash/v2,github.com/cespare/xxhash/v2,v2.1.1,fatedier/frp,github.com/cespare/xxhash/v2/xxhash_unsafe.go,cast:str_to_slice
11,11,11,"		Data: ((*reflect.SliceHeader)(unsafe.Pointer(&slice))).Data,
","
func strslice(slice []byte) string {
	var str string
	*(*reflect.StringHeader)(unsafe.Pointer(&str)) = reflect.StringHeader{
		Data: ((*reflect.SliceHeader)(unsafe.Pointer(&slice))).Data,
		Len:  len(slice),
	}
	return str
}
",68.0,11.0,1576.0,reflect.SliceHeader,murmur.go,1676.0,72.0,github.com/spaolacci/murmur3,github.com/spaolacci/murmur3,v1.1.0,syncthing/syncthing,github.com/spaolacci/murmur3/murmur.go,vuln:create_sliceheader
12,12,12,"	dst := *(*[]pgid)(unsafe.Pointer(&reflect.SliceHeader{
","	}
	sort.Sort(m)
	fpgids := f.getFreePageIDs()
	sz := len(fpgids) + len(m)
	dst := *(*[]pgid)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(dstptr),
		Len:  sz,
		Cap:  sz,
	}))
	mergepgids(dst, fpgids, m)
",107.0,35.0,3719.0,reflect.SliceHeader,freelist.go,11854.0,413.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/freelist.go,vuln:create_sliceheader
13,13,13,"		ids := *(*[]pgid)(unsafe.Pointer(&reflect.SliceHeader{
","	// Copy the list of page ids from the freelist.
	if count == 0 {
		f.ids = nil
	} else {
		ids := *(*[]pgid)(unsafe.Pointer(&reflect.SliceHeader{
			Data: uintptr(unsafe.Pointer(p)) + unsafe.Sizeof(*p) + idx*unsafe.Sizeof(pgid(0)),
			Len:  int(count),
			Cap:  int(count),
		}))

",297.0,36.0,8699.0,reflect.SliceHeader,freelist.go,11854.0,413.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/freelist.go,vuln:create_sliceheader
14,14,14,"	return *(*[]leafPageElement)(unsafe.Pointer(&reflect.SliceHeader{
","func (p *page) leafPageElements() []leafPageElement {
	if p.count == 0 {
		return nil
	}
	return *(*[]leafPageElement)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(unsafe.Pointer(p)) + unsafe.Sizeof(*p),
		Len:  int(p.count),
		Cap:  int(p.count),
	}))
}
",68.0,46.0,1502.0,reflect.SliceHeader,page.go,5445.0,219.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/page.go,vuln:create_sliceheader
15,15,15,"	return *(*[]branchPageElement)(unsafe.Pointer(&reflect.SliceHeader{
","func (p *page) branchPageElements() []branchPageElement {
	if p.count == 0 {
		return nil
	}
	return *(*[]branchPageElement)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(unsafe.Pointer(p)) + unsafe.Sizeof(*p),
		Len:  int(p.count),
		Cap:  int(p.count),
	}))
}
",86.0,48.0,2112.0,reflect.SliceHeader,page.go,5445.0,219.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/page.go,vuln:create_sliceheader
16,16,16,"	buf := *(*[]byte)(unsafe.Pointer(&reflect.SliceHeader{
","}

// dump writes n bytes of the page to STDERR as hex output.
func (p *page) hexdump(n int) {
	buf := *(*[]byte)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(unsafe.Pointer(p)),
		Len:  n,
		Cap:  n,
	}))
	fmt.Fprintf(os.Stderr, ""%x\n"", buf)
",95.0,35.0,2381.0,reflect.SliceHeader,page.go,5445.0,219.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/page.go,vuln:create_sliceheader
17,17,17,"	return *(*[]byte)(unsafe.Pointer(&reflect.SliceHeader{
","}

// key returns a byte slice of the node key.
func (n *branchPageElement) key() []byte {
	return *(*[]byte)(unsafe.Pointer(&reflect.SliceHeader{
		Data: uintptr(unsafe.Pointer(n)) + uintptr(n.pos),
		Len:  int(n.ksize),
		Cap:  int(n.ksize),
	}))
}
",118.0,35.0,2961.0,reflect.SliceHeader,page.go,5445.0,219.0,go.etcd.io/bbolt,go.etcd.io/bbolt,v1.3.4,etcd-io/etcd,go.etcd.io/bbolt/page.go,vuln:create_sliceheader
