,Unnamed: 0,Unnamed: 0.1,project_name,module_path,module_version,package_import_path,match_type,file_name,line_number,text,context,message,label
0,0,0,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,atomic_pointer.go,63.0,"	old := unsafe.Pointer(sync_atomic_SwapUintptr((*uintptr)(noescape(unsafe.Pointer(ptr))), uintptr(new)))
","func sync_atomic_SwapPointer(ptr *unsafe.Pointer, new unsafe.Pointer) unsafe.Pointer {
	if writeBarrier.enabled {
		atomicwb(ptr, new)
	}
	old := unsafe.Pointer(sync_atomic_SwapUintptr((*uintptr)(noescape(unsafe.Pointer(ptr))), uintptr(new)))
	return old
}

//go:linkname sync_atomic_CompareAndSwapUintptr sync/atomic.CompareAndSwapUintptr
func sync_atomic_CompareAndSwapUintptr(ptr *uintptr, old, new uintptr) bool
",possible misuse of unsafe.Pointer,runtime
1,1,1,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgo_mmap.go,42.0,"		return unsafe.Pointer(ret), 0
","		})
		if ret < 4096 {
			return nil, int(ret)
		}
		return unsafe.Pointer(ret), 0
	}
	return sysMmap(addr, n, prot, flags, fd, off)
}

func munmap(addr unsafe.Pointer, n uintptr) {
",possible misuse of unsafe.Pointer,runtime
2,2,2,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,alg.go,56.0,"	size := *(*uintptr)(unsafe.Pointer(ptr + unsafe.Sizeof(h)))
","
//go:nosplit
func memhash_varlen(p unsafe.Pointer, h uintptr) uintptr {
	ptr := getclosureptr()
	size := *(*uintptr)(unsafe.Pointer(ptr + unsafe.Sizeof(h)))
	return memhash(p, h, size)
}

// runtime variable to check if the processor we're running on
// actually supports the instructions used by the AES-based
",possible misuse of unsafe.Pointer,runtime
3,3,3,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocheck.go,26.0,"	if !cgoIsGoPointer(unsafe.Pointer(src)) {
","//
//go:nosplit
//go:nowritebarrier
func cgoCheckWriteBarrier(dst *uintptr, src uintptr) {
	if !cgoIsGoPointer(unsafe.Pointer(src)) {
		return
	}
	if cgoIsGoPointer(unsafe.Pointer(dst)) {
		return
	}
",possible misuse of unsafe.Pointer,runtime
4,4,4,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,lfstack_64bit.go,52.0,"		return (*lfnode)(unsafe.Pointer(uintptr(int64(val) >> cntBits << 3)))
","func lfstackUnpack(val uint64) *lfnode {
	if GOARCH == ""amd64"" {
		// amd64 systems can place the stack above the VA hole, so we need to sign extend
		// val before unpacking.
		return (*lfnode)(unsafe.Pointer(uintptr(int64(val) >> cntBits << 3)))
	}
	if GOARCH == ""ppc64"" && GOOS == ""aix"" {
		return (*lfnode)(unsafe.Pointer(uintptr((val >> aixCntBits << 3) | 0xa<<56)))
	}
	return (*lfnode)(unsafe.Pointer(uintptr(val >> cntBits << 3)))
",possible misuse of unsafe.Pointer,runtime
5,5,5,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,lfstack_64bit.go,55.0,"		return (*lfnode)(unsafe.Pointer(uintptr((val >> aixCntBits << 3) | 0xa<<56)))
","		// val before unpacking.
		return (*lfnode)(unsafe.Pointer(uintptr(int64(val) >> cntBits << 3)))
	}
	if GOARCH == ""ppc64"" && GOOS == ""aix"" {
		return (*lfnode)(unsafe.Pointer(uintptr((val >> aixCntBits << 3) | 0xa<<56)))
	}
	return (*lfnode)(unsafe.Pointer(uintptr(val >> cntBits << 3)))
}
",possible misuse of unsafe.Pointer,runtime
6,6,6,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,lfstack_64bit.go,57.0,"	return (*lfnode)(unsafe.Pointer(uintptr(val >> cntBits << 3)))
","	}
	if GOARCH == ""ppc64"" && GOOS == ""aix"" {
		return (*lfnode)(unsafe.Pointer(uintptr((val >> aixCntBits << 3) | 0xa<<56)))
	}
	return (*lfnode)(unsafe.Pointer(uintptr(val >> cntBits << 3)))
}
",possible misuse of unsafe.Pointer,runtime
7,7,7,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,200.0,"	savedsp := unsafe.Pointer(gp.syscallsp)
","	// entersyscall saves the caller's SP to allow the GC to trace the Go
	// stack. However, since we're returning to an earlier stack frame and
	// need to pair with the entersyscall() call made by cgocall, we must
	// save syscall* and let reentersyscall restore them.
	savedsp := unsafe.Pointer(gp.syscallsp)
	savedpc := gp.syscallpc
	exitsyscall() // coming out of cgo call
	gp.m.incgo = false

	osPreemptExtExit(gp.m)
",possible misuse of unsafe.Pointer,runtime
8,8,8,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,282.0,"		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
","		throw(""cgocallbackg is unimplemented on arch"")
	case ""arm"":
		// On arm, stack frame is two words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""arm64"":
		// On arm64, stack frame is four words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		// Additional two words (16-byte alignment) are for saving FP.
		cb = (*args)(unsafe.Pointer(sp + 7*sys.PtrSize))
",possible misuse of unsafe.Pointer,runtime
9,9,9,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,287.0,"		cb = (*args)(unsafe.Pointer(sp + 7*sys.PtrSize))
","	case ""arm64"":
		// On arm64, stack frame is four words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		// Additional two words (16-byte alignment) are for saving FP.
		cb = (*args)(unsafe.Pointer(sp + 7*sys.PtrSize))
	case ""amd64"":
		// On amd64, stack frame is two words, plus caller PC.
		if framepointer_enabled {
			// In this case, there's also saved BP.
			cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
",possible misuse of unsafe.Pointer,runtime
