project_name,project_rank,project_github_clone_url,project_number_of_stars,project_number_of_forks,project_github_id,project_revision,project_created_at,project_last_pushed_at,project_updated_at,project_size,project_checkout_path
golang/go,1,https://github.com/golang/go.git,72988,10460,23096959,6bf2eea62a3425c57f3d908ec32047a9ae41c025,2014-08-19T04:33:40Z,2020-05-28T14:45:33Z,2020-05-28T18:49:53Z,215283,/root/download/golang/go
kubernetes/kubernetes,2,https://github.com/kubernetes/kubernetes.git,66512,23806,20580498,fb9e1946b0af89998b3e366d49399f6365c94c56,2014-06-06T22:56:04Z,2020-05-28T19:09:23Z,2020-05-28T18:55:28Z,918555,/root/download/kubernetes/kubernetes
moby/moby,3,https://github.com/moby/moby.git,57189,16540,7691631,763f9e799b7ad2b10e089d546f5a6575ce70f418,2013-01-18T18:10:57Z,2020-05-28T18:55:57Z,2020-05-28T18:37:46Z,153636,/root/download/moby/moby
avelino/awesome-go,4,https://github.com/avelino/awesome-go.git,54733,7267,21540759,3e27d63fe21f95dc41a62dda9b78b2500dc9e0c0,2014-07-06T13:42:15Z,2020-05-28T00:00:53Z,2020-05-28T18:26:27Z,8342,/root/download/avelino/awesome-go
gohugoio/hugo,5,https://github.com/gohugoio/hugo.git,44317,5049,11180687,6a3e89743ccad58097a6dd203a63448946a2304d,2013-07-04T15:26:26Z,2020-05-28T17:46:37Z,2020-05-28T19:11:19Z,88480,/root/download/gohugoio/hugo
gin-gonic/gin,6,https://github.com/gin-gonic/gin.git,38459,4441,20904437,5e40c1d49c21bf989e8d54dbd555086f06d4fb8a,2014-06-16T23:57:25Z,2020-05-27T11:47:44Z,2020-05-28T18:28:16Z,2413,/root/download/gin-gonic/gin
fatedier/frp,7,https://github.com/fatedier/frp.git,36184,6860,48378947,2406ecdfea62567a576bdb71e38adbafa3b4814a,2015-12-21T15:24:59Z,2020-05-25T12:06:45Z,2020-05-28T17:14:12Z,16572,/root/download/fatedier/frp
astaxie/build-web-application-with-golang,8,https://github.com/astaxie/build-web-application-with-golang.git,34787,9516,5271882,606abd586a7270d0e48762cf0454ba0fac330698,2012-08-02T11:49:35Z,2020-04-11T13:23:10Z,2020-05-28T15:49:41Z,38153,/root/download/astaxie/build-web-application-with-golang
gogs/gogs,9,https://github.com/gogs/gogs.git,34522,4030,16752620,7e99a6ce4231ce742cef839ed709da9dee334604,2014-02-12T01:57:08Z,2020-05-28T06:36:15Z,2020-05-28T16:09:42Z,182730,/root/download/gogs/gogs
v2ray/v2ray-core,10,https://github.com/v2ray/v2ray-core.git,31853,7270,41912791,edb4fed387d27890902e7ee97aae0d97292f912b,2015-09-04T11:42:53Z,2020-05-28T12:53:52Z,2020-05-28T15:37:53Z,30267,/root/download/v2ray/v2ray-core
syncthing/syncthing,11,https://github.com/syncthing/syncthing.git,31357,2686,14712850,04ff8902636071f5b91e339e1490bacb3811bc54,2013-11-26T09:48:21Z,2020-05-28T18:07:12Z,2020-05-28T16:18:22Z,103170,/root/download/syncthing/syncthing
etcd-io/etcd,12,https://github.com/etcd-io/etcd.git,31265,6523,11225014,9b6c3e3378a0dadf12e14710c427c87f4f7e38c6,2013-07-06T21:57:21Z,2020-05-27T22:48:05Z,2020-05-28T17:13:36Z,58349,/root/download/etcd-io/etcd
prometheus/prometheus,13,https://github.com/prometheus/prometheus.git,31006,4725,6838921,83619aa9ac566313942c624df6ee721f5b521032,2012-11-24T11:14:12Z,2020-05-28T15:50:48Z,2020-05-28T18:24:38Z,100623,/root/download/prometheus/prometheus
junegunn/fzf,14,https://github.com/junegunn/fzf.git,29549,1207,13807606,f81feb1e69e5cb75797d50817752ddfe4933cd68,2013-10-23T16:04:23Z,2020-05-23T11:52:28Z,2020-05-28T18:25:32Z,3442,/root/download/junegunn/fzf
containous/traefik,15,https://github.com/containous/traefik.git,28977,3178,42408804,7928e6d0cd4c7751a14bea5f74124f8a3cb829c0,2015-09-13T19:04:02Z,2020-05-28T18:08:24Z,2020-05-28T18:51:54Z,52070,/root/download/containous/traefik
caddyserver/caddy,16,https://github.com/caddyserver/caddy.git,28739,2334,29207621,9415feca7cf0fe14b9d881c7318be2da20b2985f,2015-01-13T19:45:03Z,2020-05-28T16:40:23Z,2020-05-28T18:51:51Z,13226,/root/download/caddyserver/caddy
ethereum/go-ethereum,17,https://github.com/ethereum/go-ethereum.git,26010,9492,15452919,389da6aa480bdf9a78d865caabc39ebeebb1d416,2013-12-26T13:05:46Z,2020-05-28T13:35:11Z,2020-05-28T15:24:33Z,139588,/root/download/ethereum/go-ethereum
FiloSottile/mkcert,18,https://github.com/FiloSottile/mkcert.git,24272,1003,138547797,a2b1208e9c7d6a9588bce49729cfedbdf9f8be21,2018-06-25T05:33:03Z,2020-05-20T16:54:02Z,2020-05-28T17:35:50Z,1822,/root/download/FiloSottile/mkcert
astaxie/beego,19,https://github.com/astaxie/beego.git,23997,4825,3577919,8f3d1c5f42fce57e83e1c3f7d180477595db7cca,2012-02-29T02:32:08Z,2020-05-22T03:43:49Z,2020-05-28T16:48:48Z,8391,/root/download/astaxie/beego
iikira/BaiduPCS-Go,20,https://github.com/iikira/BaiduPCS-Go.git,23924,3974,112567264,a829eef6b0acc125b62210dfd8d167b3cc60160f,2017-11-30T05:09:26Z,2020-05-22T08:53:48Z,2020-05-28T16:04:01Z,3641,/root/download/iikira/BaiduPCS-Go
pingcap/tidb,21,https://github.com/pingcap/tidb.git,23680,3572,41986369,777907bceef42828455c8329aa1ab203fbcabb6d,2015-09-06T04:01:52Z,2020-05-28T17:52:32Z,2020-05-28T17:32:53Z,172160,/root/download/pingcap/tidb
istio/istio,22,https://github.com/istio/istio.git,22946,4312,74175805,13855a94f906203c8bb6c5a2177a2a0331cd0f85,2016-11-18T23:57:21Z,2020-05-28T19:07:39Z,2020-05-28T18:33:20Z,167480,/root/download/istio/istio
hashicorp/terraform,23,https://github.com/hashicorp/terraform.git,22151,5729,17728164,01f91316da9ef33695c132e95dbd8a1f28f71a78,2014-03-13T22:25:48Z,2020-05-28T19:11:47Z,2020-05-28T17:20:53Z,172262,/root/download/hashicorp/terraform
minio/minio,24,https://github.com/minio/minio.git,22065,2263,29261473,231c5cf6de07d30b031eb200682e9be39c08d53b,2015-01-14T19:23:58Z,2020-05-28T18:31:05Z,2020-05-28T17:55:53Z,79706,/root/download/minio/minio
rclone/rclone,25,https://github.com/rclone/rclone.git,21733,1733,17803236,764b90a5193e5a7fad9254b393d6a3a44b0671bc,2014-03-16T16:19:57Z,2020-05-28T12:13:10Z,2020-05-28T18:55:48Z,138639,/root/download/rclone/rclone
unknwon/the-way-to-go_ZH_CN,26,https://github.com/unknwon/the-way-to-go_ZH_CN.git,21596,5939,8989842,eec6f83fcbc4055692d8971c9162e5ea08886749,2013-03-24T17:18:38Z,2020-05-09T01:36:12Z,2020-05-28T18:37:40Z,12264,/root/download/unknwon/the-way-to-go_ZH_CN
drone/drone,27,https://github.com/drone/drone.git,21111,2058,16607898,aa84e311c0d8bf092f5a67bcbe9677500034f0a9,2014-02-07T07:54:44Z,2020-05-28T17:30:02Z,2020-05-28T17:49:27Z,28014,/root/download/drone/drone
wagoodman/dive,28,https://github.com/wagoodman/dive.git,20197,727,133251103,103b05f3c083c857f6fd4c3b3b3e22ace5577d53,2018-05-13T15:44:01Z,2020-05-16T20:51:12Z,2020-05-28T16:53:07Z,3580,/root/download/wagoodman/dive
go-gitea/gitea,29,https://github.com/go-gitea/gitea.git,19872,2342,72495579,9f5576980411385a21668ce5930e53b89be67a5e,2016-11-01T02:13:26Z,2020-05-28T19:05:47Z,2020-05-28T18:23:43Z,173391,/root/download/go-gitea/gitea
github/hub,30,https://github.com/github/hub.git,19698,2039,401025,93537d457500c1d9f2e5671b9b9b1ebf90a55668,2009-12-05T22:15:25Z,2020-05-25T22:09:00Z,2020-05-28T18:21:33Z,7021,/root/download/github/hub
hashicorp/consul,31,https://github.com/hashicorp/consul.git,19249,3308,14125254,6c444ba24c9a61ff0da5cadd467d7a6c19fd4550,2013-11-04T22:15:27Z,2020-05-28T19:05:16Z,2020-05-28T18:55:58Z,128476,/root/download/hashicorp/consul
influxdata/influxdb,32,https://github.com/influxdata/influxdb.git,18970,2680,13124802,41156ca6465ab672b082d7fbc7e2e991aeebd87f,2013-09-26T14:31:10Z,2020-05-28T19:09:05Z,2020-05-28T18:42:44Z,128949,/root/download/influxdata/influxdb
